divergence,epsilon,clean_accuracy,fgsm_accuracy,pgd_accuracy,I_XZ,I_ZY
kl,0.02,0.7932,0.0406,0.0002,56.14341735839844,1.7756579518318176
kl,0.031,0.7932,0.0172,0.0,56.14341735839844,1.7756579518318176
kl,0.05,0.7932,0.0172,0.0,56.14341735839844,1.7756579518318176
kl,0.08,0.7932,0.0298,0.0,56.14341735839844,1.7756579518318176
kl,0.12,0.7932,0.0398,0.0,56.14341735839844,1.7756579518318176
renyi,0.02,0.7828,0.0558,0.0002,57.825462341308594,1.7908511757850647
renyi,0.031,0.7828,0.0346,0.0,57.825462341308594,1.7908511757850647
renyi,0.05,0.7828,0.0316,0.0,57.825462341308594,1.7908511757850647
renyi,0.08,0.7828,0.0392,0.0,57.825462341308594,1.7908511757850647
renyi,0.12,0.7828,0.0482,0.0,57.825462341308594,1.7908511757850647
tsallis,0.02,0.7806,0.0302,0.0006,363.44073486328125,1.8053996562957764
tsallis,0.031,0.7806,0.0142,0.0,363.44073486328125,1.8053996562957764
tsallis,0.05,0.7806,0.0156,0.0,363.44073486328125,1.8053996562957764
tsallis,0.08,0.7806,0.0236,0.0,363.44073486328125,1.8053996562957764
tsallis,0.12,0.7806,0.0334,0.0,363.44073486328125,1.8053996562957764
