divergence,epsilon,clean_accuracy,fgsm_accuracy,pgd_accuracy,I_XZ,I_ZY
kl,0.05,0.9801,0.6782,0.466,15.011857986450195,2.283215656876564
kl,0.1,0.9801,0.237,0.0409,15.011857986450195,2.283215656876564
kl,0.15,0.9801,0.1002,0.0075,15.011857986450195,2.283215656876564
kl,0.2,0.9801,0.0573,0.005,15.011857986450195,2.283215656876564
kl,0.3,0.9801,0.0314,0.0041,15.011857986450195,2.283215656876564
renyi,0.05,0.9817,0.708,0.5172,16.754518508911133,2.2852195315063
renyi,0.1,0.9817,0.2699,0.0554,16.754518508911133,2.2852195315063
renyi,0.15,0.9817,0.1297,0.0075,16.754518508911133,2.2852195315063
renyi,0.2,0.9817,0.0841,0.0048,16.754518508911133,2.2852195315063
renyi,0.3,0.9817,0.0504,0.0062,16.754518508911133,2.2852195315063
tsallis,0.05,0.981,0.6883,0.5118,306.3568420410156,2.282909508794546
tsallis,0.1,0.981,0.3194,0.0584,306.3568420410156,2.282909508794546
tsallis,0.15,0.981,0.132,0.006,306.3568420410156,2.282909508794546
tsallis,0.2,0.981,0.065,0.0028,306.3568420410156,2.282909508794546
tsallis,0.3,0.981,0.0286,0.0002,306.3568420410156,2.282909508794546
